model,split,AUC,AP,LogLoss,Brier,Acc,BAcc
baseline_mops,train,0.5169655856761535,0.5426206790089623,0.7687852332470544,0.2482547421015328,0.5352422907488987,0.5174888203279371
baseline_mops,val,0.5384545038866027,0.5669135545755238,0.6721232067334191,0.23988657837614377,0.5387205387205387,0.5290123456790123
baseline_mops,test,0.5442377495462796,0.536859313051172,0.6970833743704407,0.25189685127588957,0.5387205387205387,0.5369555353901996
lr_fused,train,0.7012622629736195,0.671116747033335,0.6932927714118184,0.22086301729201152,0.6674008810572687,0.653742156896731
lr_fused,val,0.5741655235482396,0.6020069822591628,0.6681457039460164,0.23930670312461458,0.5488215488215489,0.5345679012345679
lr_fused,test,0.4700317604355716,0.49159909178539524,0.8174070742404871,0.2661482817228049,0.5050505050505051,0.5005671506352087
lr_numeric_tuned,train,0.5853229971920824,0.5902793032332759,0.8835577212189537,0.25519729571986505,0.5506607929515418,0.5185721218844247
lr_numeric_tuned,val,0.5770919067215363,0.5922474544488364,0.6593743186980805,0.23469364264580525,0.5858585858585859,0.5469135802469136
lr_numeric_tuned,test,0.5311252268602542,0.5274062993477108,0.7126763173566838,0.2583757282977571,0.5151515151515151,0.5040834845735027
svc_numeric,train,0.5998652372863729,0.6111926166010957,0.6801612329167438,0.24366386706454968,0.5513950073421439,0.5200735778417166
svc_numeric,val,0.5611796982167353,0.5876102450754129,0.6780832873911248,0.2425655201806282,0.5858585858585859,0.55
svc_numeric,test,0.5519056261343014,0.5439639759173324,0.7014433586027627,0.25401809137681997,0.5218855218855218,0.5112976406533575
lgbm_numeric,train,0.5977712153776822,0.6053479493061485,0.6830083457025156,0.2449579950616125,0.5345080763582967,0.5
lgbm_numeric,val,0.6041838134430727,0.6183692563647777,0.6839043576871959,0.24539336554902536,0.5454545454545454,0.5
lgbm_numeric,test,0.5514745916515427,0.5550683811576894,0.6981008584657601,0.25246943824067286,0.5117845117845118,0.5
